chromosome	start	end	width	test	ref
Chr04	1	10000	10000	483	521
Chr04	5001	15000	10000	590	574
Chr04	10001	20000	10000	588	599
Chr04	15001	25000	10000	300	342
Chr04	20001	30000	10000	241	281
Chr04	25001	35000	10000	463	471
Chr04	30001	40000	10000	627	627
Chr04	35001	45000	10000	507	524
Chr04	40001	50000	10000	385	364
Chr04	45001	55000	10000	345	290
Chr04	50001	60000	10000	381	338
Chr04	55001	65000	10000	345	334
Chr04	60001	70000	10000	327	338
Chr04	65001	75000	10000	345	314
Chr04	70001	80000	10000	346	269
Chr04	75001	85000	10000	337	292
Chr04	80001	90000	10000	362	302
Chr04	85001	95000	10000	391	320
Chr04	90001	100000	10000	338	320
Chr04	95001	105000	10000	294	314
Chr04	100001	110000	10000	253	299
Chr04	105001	115000	10000	236	283
Chr04	110001	120000	10000	314	304
Chr04	115001	125000	10000	390	324
Chr04	120001	130000	10000	401	314
Chr04	125001	135000	10000	404	325
Chr04	130001	140000	10000	379	373
Chr04	135001	145000	10000	335	352
Chr04	140001	150000	10000	325	271
Chr04	145001	155000	10000	355	271
Chr04	150001	160000	10000	374	350
Chr04	155001	165000	10000	324	330
Chr04	160001	170000	10000	286	246
Chr04	165001	175000	10000	362	294
Chr04	170001	180000	10000	388	314
Chr04	175001	185000	10000	349	281
Chr04	180001	190000	10000	362	329
Chr04	185001	195000	10000	377	323
Chr04	190001	200000	10000	369	260
Chr04	195001	205000	10000	357	245
Chr04	200001	210000	10000	416	310
Chr04	205001	215000	10000	430	334
Chr04	210001	220000	10000	440	331
Chr04	215001	225000	10000	375	309
Chr04	220001	230000	10000	321	295
Chr04	225001	235000	10000	315	322
Chr04	230001	240000	10000	217	237
Chr04	235001	245000	10000	272	221
Chr04	240001	250000	10000	294	282
Chr04	245001	255000	10000	304	335
Chr04	250001	260000	10000	402	365
Chr04	255001	265000	10000	497	415
Chr04	260001	270000	10000	456	474
Chr04	265001	275000	10000	346	380
Chr04	270001	280000	10000	349	309
Chr04	275001	285000	10000	383	368
Chr04	280001	290000	10000	463	429
Chr04	285001	295000	10000	419	397
Chr04	290001	300000	10000	303	338
Chr04	295001	305000	10000	285	283
Chr04	300001	310000	10000	310	317
Chr04	305001	315000	10000	410	413
Chr04	310001	320000	10000	464	406
Chr04	315001	325000	10000	2531	2803
Chr04	320001	330000	10000	2452	2775
Chr04	325001	335000	10000	274	268
Chr04	330001	340000	10000	301	250
Chr04	335001	345000	10000	317	289
Chr04	340001	350000	10000	315	289
Chr04	345001	355000	10000	385	313
Chr04	350001	360000	10000	392	290
Chr04	355001	365000	10000	313	239
Chr04	360001	370000	10000	294	241
Chr04	365001	375000	10000	312	276
Chr04	370001	380000	10000	293	341
Chr04	375001	385000	10000	263	314
Chr04	380001	390000	10000	271	269
Chr04	385001	395000	10000	329	317
Chr04	390001	400000	10000	356	324
Chr04	395001	405000	10000	364	353
Chr04	400001	410000	10000	479	423
Chr04	405001	415000	10000	473	423
Chr04	410001	420000	10000	327	354
Chr04	415001	425000	10000	1087	1104
Chr04	420001	430000	10000	1168	1144
Chr04	425001	435000	10000	399	345
Chr04	430001	440000	10000	344	312
Chr04	435001	445000	10000	329	315
Chr04	440001	450000	10000	357	340
Chr04	445001	455000	10000	329	311
Chr04	450001	460000	10000	357	322
Chr04	455001	465000	10000	374	332
Chr04	460001	470000	10000	381	308
Chr04	465001	475000	10000	419	368
Chr04	470001	480000	10000	517	492
Chr04	475001	485000	10000	445	391
Chr04	480001	490000	10000	301	258
Chr04	485001	495000	10000	451	412
Chr04	490001	500000	10000	487	417
Chr04	495001	505000	10000	446	368
Chr04	500001	510000	10000	362	330
Chr04	505001	515000	10000	297	292
Chr04	510001	520000	10000	310	316
Chr04	515001	525000	10000	239	250
Chr04	520001	530000	10000	268	249
Chr04	525001	535000	10000	344	301
Chr04	530001	540000	10000	3576	3759
Chr04	535001	545000	10000	3529	3716
Chr04	540001	550000	10000	263	223
Chr04	545001	555000	10000	315	276
Chr04	550001	560000	10000	371	339
Chr04	555001	565000	10000	373	363
Chr04	560001	570000	10000	315	325
Chr04	565001	575000	10000	292	279
Chr04	570001	580000	10000	273	297
Chr04	575001	585000	10000	333	369
Chr04	580001	590000	10000	398	387
Chr04	585001	595000	10000	286	251
Chr04	590001	600000	10000	274	236
Chr04	595001	605000	10000	279	283
Chr04	600001	610000	10000	253	295
Chr04	605001	615000	10000	332	336
Chr04	610001	620000	10000	364	318
Chr04	615001	625000	10000	406	399
Chr04	620001	630000	10000	411	422
Chr04	625001	635000	10000	393	345
Chr04	630001	640000	10000	354	310
Chr04	635001	645000	10000	326	328
Chr04	640001	650000	10000	334	314
Chr04	645001	655000	10000	324	294
Chr04	650001	660000	10000	362	321
Chr04	655001	665000	10000	359	342
Chr04	660001	670000	10000	321	314
Chr04	665001	675000	10000	310	294
Chr04	670001	680000	10000	254	253
Chr04	675001	685000	10000	256	223
Chr04	680001	690000	10000	290	261
Chr04	685001	695000	10000	293	264
Chr04	690001	700000	10000	298	265
Chr04	695001	705000	10000	280	267
Chr04	700001	710000	10000	341	328
Chr04	705001	715000	10000	397	343
Chr04	710001	720000	10000	380	345
Chr04	715001	725000	10000	376	358
Chr04	720001	730000	10000	358	330
Chr04	725001	735000	10000	348	354
Chr04	730001	740000	10000	345	330
Chr04	735001	745000	10000	314	291
Chr04	740001	750000	10000	309	309
Chr04	745001	755000	10000	357	338
Chr04	750001	760000	10000	353	342
Chr04	755001	765000	10000	371	346
Chr04	760001	770000	10000	396	366
Chr04	765001	775000	10000	292	311
Chr04	770001	780000	10000	241	237
Chr04	775001	785000	10000	260	267
Chr04	780001	790000	10000	284	284
Chr04	785001	795000	10000	339	296
Chr04	790001	800000	10000	338	306
Chr04	795001	805000	10000	316	293
Chr04	800001	810000	10000	330	275
Chr04	805001	815000	10000	367	277
Chr04	810001	820000	10000	351	266
Chr04	815001	825000	10000	324	264
Chr04	820001	830000	10000	319	294
Chr04	825001	835000	10000	308	278
Chr04	830001	840000	10000	302	260
Chr04	835001	845000	10000	351	283
Chr04	840001	850000	10000	343	258
Chr04	845001	855000	10000	294	227
Chr04	850001	860000	10000	344	316
Chr04	855001	865000	10000	392	409
Chr04	860001	870000	10000	310	318
Chr04	865001	875000	10000	212	213
Chr04	870001	880000	10000	355	316
Chr04	875001	885000	10000	399	361
Chr04	880001	890000	10000	392	391
Chr04	885001	895000	10000	473	451
Chr04	890001	900000	10000	412	357
Chr04	895001	905000	10000	307	271
Chr04	900001	910000	10000	290	274
Chr04	905001	915000	10000	333	314
Chr04	910001	920000	10000	388	386
Chr04	915001	925000	10000	403	375
Chr04	920001	930000	10000	379	314
Chr04	925001	935000	10000	373	311
Chr04	930001	940000	10000	342	267
Chr04	935001	945000	10000	342	260
Chr04	940001	950000	10000	391	291
Chr04	945001	955000	10000	410	364
Chr04	950001	960000	10000	304	322
Chr04	955001	965000	10000	260	241
Chr04	960001	970000	10000	306	300
Chr04	965001	975000	10000	339	329
Chr04	970001	980000	10000	402	370
Chr04	975001	985000	10000	347	329
Chr04	980001	990000	10000	290	290
Chr04	985001	995000	10000	297	265
Chr04	990001	1000000	10000	360	325
Chr04	995001	1005000	10000	363	353
Chr04	1000001	1010000	10000	257	222
Chr04	1005001	1015000	10000	230	216
Chr04	1010001	1020000	10000	237	230
Chr04	1015001	1025000	10000	216	191
Chr04	1020001	1030000	10000	224	204
Chr04	1025001	1035000	10000	272	280
Chr04	1030001	1040000	10000	283	299
Chr04	1035001	1045000	10000	277	265
Chr04	1040001	1050000	10000	170	159
Chr04	1045001	1055000	10000	110	99
Chr04	1050001	1060000	10000	245	239
Chr04	1055001	1065000	10000	234	223
Chr04	1060001	1070000	10000	277	256
Chr04	1065001	1075000	10000	389	371
Chr04	1070001	1080000	10000	347	360
Chr04	1075001	1085000	10000	343	341
Chr04	1080001	1090000	10000	339	291
Chr04	1085001	1095000	10000	331	269
Chr04	1090001	1100000	10000	274	246
Chr04	1095001	1105000	10000	272	279
Chr04	1100001	1110000	10000	354	366
Chr04	1105001	1115000	10000	370	393
Chr04	1110001	1120000	10000	338	351
Chr04	1115001	1125000	10000	336	302
Chr04	1120001	1130000	10000	325	286
Chr04	1125001	1135000	10000	319	331
Chr04	1130001	1140000	10000	373	367
Chr04	1135001	1145000	10000	384	322
Chr04	1140001	1150000	10000	323	301
Chr04	1145001	1155000	10000	294	307
Chr04	1150001	1160000	10000	356	340
Chr04	1155001	1165000	10000	343	342
Chr04	1160001	1170000	10000	312	319
Chr04	1165001	1175000	10000	395	324
Chr04	1170001	1180000	10000	384	295
Chr04	1175001	1185000	10000	360	310
Chr04	1180001	1190000	10000	373	280
Chr04	1185001	1195000	10000	351	270
Chr04	1190001	1200000	10000	359	319
Chr04	1195001	1205000	10000	353	311
Chr04	1200001	1210000	10000	297	281
Chr04	1205001	1215000	10000	309	301
Chr04	1210001	1220000	10000	391	357
Chr04	1215001	1225000	10000	364	356
Chr04	1220001	1230000	10000	322	338
Chr04	1225001	1235000	10000	353	308
Chr04	1230001	1240000	10000	330	243
Chr04	1235001	1245000	10000	269	218
Chr04	1240001	1250000	10000	284	297
Chr04	1245001	1255000	10000	311	354
Chr04	1250001	1260000	10000	381	371
Chr04	1255001	1265000	10000	402	332
Chr04	1260001	1270000	10000	320	247
Chr04	1265001	1275000	10000	292	269
Chr04	1270001	1280000	10000	357	376
Chr04	1275001	1285000	10000	369	372
Chr04	1280001	1290000	10000	213	199
Chr04	1285001	1295000	10000	53	49
Chr04	1290001	1300000	10000	42	58
Chr04	1295001	1305000	10000	159	180
Chr04	1300001	1310000	10000	286	284
Chr04	1305001	1315000	10000	358	315
Chr04	1310001	1320000	10000	335	282
Chr04	1315001	1325000	10000	292	255
Chr04	1320001	1330000	10000	314	273
Chr04	1325001	1335000	10000	298	273
Chr04	1330001	1340000	10000	210	195
Chr04	1335001	1345000	10000	214	175
Chr04	1340001	1350000	10000	328	253
Chr04	1345001	1355000	10000	328	291
Chr04	1350001	1360000	10000	319	303
Chr04	1355001	1365000	10000	364	316
Chr04	1360001	1370000	10000	363	337
Chr04	1365001	1375000	10000	296	311
Chr04	1370001	1380000	10000	263	291
Chr04	1375001	1385000	10000	282	291
Chr04	1380001	1390000	10000	273	295
Chr04	1385001	1395000	10000	353	400
Chr04	1390001	1400000	10000	414	465
Chr04	1395001	1405000	10000	1443	1656
Chr04	1400001	1410000	10000	1422	1596
Chr04	1405001	1415000	10000	346	324
Chr04	1410001	1420000	10000	383	341
Chr04	1415001	1425000	10000	393	370
Chr04	1420001	1430000	10000	330	343
Chr04	1425001	1435000	10000	287	254
Chr04	1430001	1440000	10000	271	220
Chr04	1435001	1445000	10000	361	301
Chr04	1440001	1450000	10000	311	284
Chr04	1445001	1455000	10000	200	231
Chr04	1450001	1460000	10000	222	232
Chr04	1455001	1465000	10000	289	278
Chr04	1460001	1470000	10000	323	291
Chr04	1465001	1475000	10000	289	278
Chr04	1470001	1480000	10000	300	328
Chr04	1475001	1485000	10000	338	351
Chr04	1480001	1490000	10000	428	373
Chr04	1485001	1495000	10000	385	327
Chr04	1490001	1500000	10000	295	291
Chr04	1495001	1505000	10000	236	247
Chr04	1500001	1510000	10000	193	208
Chr04	1505001	1515000	10000	306	333
Chr04	1510001	1520000	10000	404	398
Chr04	1515001	1525000	10000	382	293
Chr04	1520001	1530000	10000	390	297
Chr04	1525001	1535000	10000	365	329
Chr04	1530001	1540000	10000	292	278
Chr04	1535001	1545000	10000	310	274
Chr04	1540001	1550000	10000	401	321
Chr04	1545001	1555000	10000	401	307
Chr04	1550001	1560000	10000	370	338
Chr04	1555001	1565000	10000	433	393
Chr04	1560001	1570000	10000	384	306
Chr04	1565001	1575000	10000	358	298
Chr04	1570001	1580000	10000	310	302
Chr04	1575001	1585000	10000	321	318
Chr04	1580001	1590000	10000	368	358
Chr04	1585001	1595000	10000	297	288
Chr04	1590001	1600000	10000	302	233
Chr04	1595001	1605000	10000	330	300
Chr04	1600001	1610000	10000	324	319
Chr04	1605001	1615000	10000	315	297
Chr04	1610001	1620000	10000	317	319
Chr04	1615001	1625000	10000	301	321
Chr04	1620001	1630000	10000	326	336
Chr04	1625001	1635000	10000	296	263
Chr04	1630001	1640000	10000	320	265
Chr04	1635001	1645000	10000	393	352
Chr04	1640001	1650000	10000	347	294
Chr04	1645001	1655000	10000	385	277
Chr04	1650001	1660000	10000	330	255
Chr04	1655001	1665000	10000	232	229
Chr04	1660001	1670000	10000	251	242
Chr04	1665001	1675000	10000	323	276
Chr04	1670001	1680000	10000	306	244
Chr04	1675001	1685000	10000	194	158
Chr04	1680001	1690000	10000	232	252
Chr04	1685001	1695000	10000	268	275
Chr04	1690001	1700000	10000	286	274
Chr04	1695001	1705000	10000	319	337
Chr04	1700001	1710000	10000	276	285
Chr04	1705001	1715000	10000	136	119
Chr04	1710001	1720000	10000	109	78
Chr04	1715001	1725000	10000	219	210
Chr04	1720001	1730000	10000	260	275
Chr04	1725001	1735000	10000	278	289
Chr04	1730001	1740000	10000	401	450
Chr04	1735001	1745000	10000	582	620
Chr04	1740001	1750000	10000	476	466
Chr04	1745001	1755000	10000	256	252
Chr04	1750001	1760000	10000	272	227
Chr04	1755001	1765000	10000	329	279
Chr04	1760001	1770000	10000	363	333
Chr04	1765001	1775000	10000	391	349
Chr04	1770001	1780000	10000	390	351
Chr04	1775001	1785000	10000	384	355
Chr04	1780001	1790000	10000	350	316
Chr04	1785001	1795000	10000	281	265
Chr04	1790001	1800000	10000	139	157
Chr04	1795001	1805000	10000	154	120
Chr04	1800001	1810000	10000	153	108
Chr04	1805001	1815000	10000	22	16
Chr04	1810001	1820000	10000	18	8
Chr04	1815001	1825000	10000	28	19
Chr04	1820001	1830000	10000	42	41
Chr04	1825001	1835000	10000	54	42
Chr04	1830001	1840000	10000	53	46
Chr04	1835001	1845000	10000	56	65
Chr04	1840001	1850000	10000	119	114
Chr04	1845001	1855000	10000	274	244
Chr04	1850001	1860000	10000	397	352
Chr04	1855001	1865000	10000	384	330
Chr04	1860001	1870000	10000	378	319
Chr04	1865001	1875000	10000	393	324
Chr04	1870001	1880000	10000	372	331
Chr04	1875001	1885000	10000	381	364
Chr04	1880001	1890000	10000	409	362
Chr04	1885001	1895000	10000	379	366
Chr04	1890001	1900000	10000	374	362
Chr04	1895001	1905000	10000	423	337
Chr04	1900001	1910000	10000	406	325
Chr04	1905001	1915000	10000	375	341
Chr04	1910001	1920000	10000	368	379
Chr04	1915001	1925000	10000	369	355
Chr04	1920001	1930000	10000	428	362
Chr04	1925001	1935000	10000	423	362
Chr04	1930001	1940000	10000	339	297
Chr04	1935001	1945000	10000	389	375
Chr04	1940001	1950000	10000	358	367
Chr04	1945001	1955000	10000	313	284
Chr04	1950001	1960000	10000	352	262
Chr04	1955001	1965000	10000	388	287
Chr04	1960001	1970000	10000	403	354
Chr04	1965001	1975000	10000	334	338
Chr04	1970001	1980000	10000	316	269
Chr04	1975001	1985000	10000	302	228
Chr04	1980001	1990000	10000	292	236
Chr04	1985001	1995000	10000	364	314
Chr04	1990001	2000000	10000	423	346
Chr04	1995001	2005000	10000	342	292
Chr04	2000001	2010000	10000	261	288
Chr04	2005001	2015000	10000	303	263
Chr04	2010001	2020000	10000	317	265
Chr04	2015001	2025000	10000	317	287
Chr04	2020001	2030000	10000	367	313
Chr04	2025001	2035000	10000	417	320
Chr04	2030001	2040000	10000	420	306
Chr04	2035001	2045000	10000	397	327
Chr04	2040001	2050000	10000	380	315
Chr04	2045001	2055000	10000	358	289
Chr04	2050001	2060000	10000	401	324
Chr04	2055001	2065000	10000	376	329
Chr04	2060001	2070000	10000	299	277
Chr04	2065001	2075000	10000	311	296
Chr04	2070001	2080000	10000	347	368
Chr04	2075001	2085000	10000	344	366
Chr04	2080001	2090000	10000	255	275
Chr04	2085001	2095000	10000	307	261
Chr04	2090001	2100000	10000	358	267
Chr04	2095001	2105000	10000	249	238
Chr04	2100001	2110000	10000	258	280
Chr04	2105001	2115000	10000	355	336
Chr04	2110001	2120000	10000	362	343
Chr04	2115001	2125000	10000	442	485
Chr04	2120001	2130000	10000	480	519
Chr04	2125001	2135000	10000	436	457
Chr04	2130001	2140000	10000	437	414
Chr04	2135001	2145000	10000	411	371
Chr04	2140001	2150000	10000	275	260
Chr04	2145001	2155000	10000	214	173
Chr04	2150001	2160000	10000	330	255
Chr04	2155001	2165000	10000	354	341
Chr04	2160001	2170000	10000	309	383
Chr04	2165001	2175000	10000	337	350
Chr04	2170001	2180000	10000	347	312
Chr04	2175001	2185000	10000	291	278
Chr04	2180001	2190000	10000	253	239
Chr04	2185001	2195000	10000	291	253
Chr04	2190001	2200000	10000	314	287
Chr04	2195001	2205000	10000	328	325
Chr04	2200001	2210000	10000	344	364
Chr04	2205001	2215000	10000	362	362
Chr04	2210001	2220000	10000	392	341
Chr04	2215001	2225000	10000	271	224
Chr04	2220001	2230000	10000	235	196
Chr04	2225001	2235000	10000	346	298
Chr04	2230001	2240000	10000	382	338
Chr04	2235001	2245000	10000	359	323
Chr04	2240001	2250000	10000	370	314
Chr04	2245001	2255000	10000	380	320
Chr04	2250001	2260000	10000	377	333
Chr04	2255001	2265000	10000	332	296
Chr04	2260001	2270000	10000	330	278
Chr04	2265001	2275000	10000	357	304
Chr04	2270001	2280000	10000	298	243
Chr04	2275001	2285000	10000	270	245
Chr04	2280001	2290000	10000	240	292
Chr04	2285001	2295000	10000	234	253
Chr04	2290001	2300000	10000	289	235
Chr04	2295001	2305000	10000	290	230
Chr04	2300001	2310000	10000	276	224
Chr04	2305001	2315000	10000	308	274
Chr04	2310001	2320000	10000	337	330
Chr04	2315001	2325000	10000	438	432
Chr04	2320001	2330000	10000	415	410
Chr04	2325001	2335000	10000	350	349
Chr04	2330001	2340000	10000	330	308
Chr04	2335001	2345000	10000	289	258
Chr04	2340001	2350000	10000	280	268
Chr04	2345001	2355000	10000	138	140
Chr04	2350001	2360000	10000	86	91
Chr04	2355001	2365000	10000	232	258
Chr04	2360001	2370000	10000	330	380
Chr04	2365001	2375000	10000	393	407
Chr04	2370001	2380000	10000	656	619
